station,valid,tmpc,dwpc,relh,sped,p01m,gust_mph
JFK,2016-01-01 00:51,8.30,-1.10,51.55,10.35,0.00,19.55
LGA,2016-01-01 00:51,7.80,-1.10,53.33,13.80,0.00,null
NYC,2016-01-01 00:51,7.20,-2.20,51.24,5.75,0.00,null
LGA,2016-01-01 01:51,7.20,-1.10,55.56,16.10,0.00,null
NYC,2016-01-01 01:51,6.70,-2.80,50.73,10.35,0.00,19.55
JFK,2016-01-01 01:51,7.80,-1.70,51.03,16.10,0.00,null
LGA,2016-01-01 02:51,7.20,-1.70,53.17,17.25,0.00,null
NYC,2016-01-01 02:51,6.10,-3.30,null,null,0.00,null
JFK,2016-01-01 02:51,7.20,-2.20,51.24,17.25,0.00,null
NYC,2016-01-01 03:51,5.60,-2.20,57.22,6.90,0.00,null
JFK,2016-01-01 03:51,6.70,-2.80,50.73,14.95,0.00,null
LGA,2016-01-01 03:51,6.10,-1.70,57.35,12.65,0.00,null
JFK,2016-01-01 04:51,6.70,-2.20,53.03,12.65,0.00,null
NYC,2016-01-01 04:51,5.60,-3.30,52.73,4.60,0.00,null
LGA,2016-01-01 04:51,6.10,-1.70,57.35,11.50,0.00,null
JFK,2016-01-01 05:51,6.10,-2.80,52.87,12.65,0.00,null
NYC,2016-01-01 05:51,5.60,-3.90,50.42,4.60,0.00,null
LGA,2016-01-01 05:51,6.10,-1.70,57.35,17.25,0.00,null
LGA,2016-01-01 06:51,6.10,-2.20,55.27,16.10,0.00,null
NYC,2016-01-01 06:51,5.00,-3.90,52.56,3.45,0.00,null
JFK,2016-01-01 06:51,6.10,-2.80,52.87,13.80,0.00,null
NYC,2016-01-01 07:51,5.00,-3.30,54.97,4.60,0.00,null
JFK,2016-01-01 07:51,5.60,-2.80,54.73,9.20,0.00,null
LGA,2016-01-01 07:51,5.60,-2.80,54.73,12.65,0.00,null
LGA,2016-01-01 08:51,5.60,-2.80,54.73,12.65,0.00,null
NYC,2016-01-01 08:51,5.00,-3.30,54.97,9.20,0.00,null
JFK,2016-01-01 08:51,6.10,-2.80,52.87,8.05,0.00,null
LGA,2016-01-01 09:51,5.00,-2.20,59.65,12.65,0.00,null
JFK,2016-01-01 09:51,5.60,-2.20,57.22,12.65,0.00,null
NYC,2016-01-01 09:51,4.40,-3.30,57.33,10.35,0.00,16.10
LGA,2016-01-01 10:51,5.00,-2.20,59.65,12.65,0.00,null
JFK,2016-01-01 10:51,5.00,-2.80,57.06,11.50,0.00,null
NYC,2016-01-01 10:51,4.40,-3.30,57.33,6.90,0.00,null
JFK,2016-01-01 11:51,5.00,-2.80,57.06,11.50,0.00,null
LGA,2016-01-01 11:51,5.00,-2.20,59.65,12.65,0.00,null
NYC,2016-01-01 11:51,3.90,-3.30,59.37,0.00,0.00,null
LGA,2016-01-01 12:51,5.00,-2.80,57.06,10.35,0.00,null
NYC,2016-01-01 12:51,3.90,-3.90,56.77,6.90,0.00,null
JFK,2016-01-01 12:51,5.00,-2.80,57.06,9.20,0.00,null
JFK,2016-01-01 13:51,4.40,-3.30,57.33,11.50,0.00,null
NYC,2016-01-01 13:51,3.90,-4.40,54.68,6.90,0.00,null
LGA,2016-01-01 13:51,4.40,-3.30,57.33,10.35,0.00,null
NYC,2016-01-01 14:51,4.40,-3.90,54.81,4.60,0.00,null
JFK,2016-01-01 14:51,5.00,-3.30,54.97,11.50,0.00,null
LGA,2016-01-01 14:51,4.40,-3.30,57.33,9.20,0.00,null
JFK,2016-01-01 15:51,5.00,-3.90,52.56,14.95,0.00,null
LGA,2016-01-01 15:51,5.00,-3.90,52.56,11.50,0.00,17.25
NYC,2016-01-01 15:51,4.40,-4.40,52.79,5.75,0.00,19.55
NYC,2016-01-01 16:51,4.40,-5.00,50.46,9.20,0.00,null
LGA,2016-01-01 16:51,5.60,-3.30,52.73,13.80,0.00,19.55
JFK,2016-01-01 16:51,5.60,-3.90,50.42,14.95,0.00,null
JFK,2016-01-01 17:51,5.60,-3.90,50.42,17.25,0.00,23.00
LGA,2016-01-01 17:51,5.00,-3.90,52.56,13.80,0.00,20.70
NYC,2016-01-01 17:51,4.40,-5.00,50.46,13.80,0.00,19.55
LGA,2016-01-01 18:51,5.00,-3.90,52.56,16.10,0.00,24.15
NYC,2016-01-01 18:51,4.40,-5.00,50.46,6.90,0.00,21.85
JFK,2016-01-01 18:51,5.60,-3.90,50.42,18.40,0.00,28.75
JFK,2016-01-01 19:51,5.00,-3.30,54.97,18.40,0.00,null
LGA,2016-01-01 19:51,4.40,-3.90,54.81,18.40,0.00,27.60
NYC,2016-01-01 19:51,3.90,-6.10,48.07,11.50,0.00,26.45
LGA,2016-01-01 20:51,4.40,-5.60,48.21,14.95,0.00,19.55
JFK,2016-01-01 20:51,4.40,-6.10,46.41,17.25,0.00,26.45
NYC,2016-01-01 20:51,3.90,-6.70,null,null,0.00,null
JFK,2016-01-01 21:51,4.40,-6.10,46.41,14.95,0.00,null
LGA,2016-01-01 21:51,4.40,-6.70,44.33,13.80,0.00,20.70
NYC,2016-01-01 21:51,3.30,-6.70,47.89,11.50,0.00,18.40
NYC,2016-01-01 22:51,3.30,-6.70,47.89,8.05,0.00,19.55
LGA,2016-01-01 22:51,3.90,-6.70,45.91,12.65,0.00,21.85
JFK,2016-01-01 22:51,4.40,-6.10,46.41,16.10,0.00,23.00
JFK,2016-01-01 23:51,3.90,-7.20,44.18,20.70,0.00,31.05
LGA,2016-01-01 23:51,3.90,-5.60,49.93,14.95,0.00,null
NYC,2016-01-01 23:51,2.80,-6.70,49.62,12.65,0.00,18.40
NYC,2016-01-02 00:51,2.80,-7.20,47.75,9.20,0.00,16.10
JFK,2016-01-02 00:51,3.90,-7.80,42.18,20.70,0.00,28.75
LGA,2016-01-02 00:51,3.30,-5.60,52.09,10.35,0.00,null
JFK,2016-01-02 01:51,3.30,-7.20,46.09,13.80,0.00,21.85
LGA,2016-01-02 01:51,3.30,-6.70,47.89,11.50,0.00,null
NYC,2016-01-02 01:51,2.20,-7.20,49.83,6.90,0.00,null
NYC,2016-01-02 02:51,1.70,-6.70,null,null,0.00,null
JFK,2016-01-02 02:51,3.30,-6.70,47.89,14.95,0.00,23.00
LGA,2016-01-02 02:51,2.80,-7.20,47.75,14.95,0.00,24.15
JFK,2016-01-02 03:51,2.80,-7.20,47.75,16.10,0.00,24.15
LGA,2016-01-02 03:51,2.20,-7.20,49.83,16.10,0.00,24.15
NYC,2016-01-02 03:51,1.70,-7.20,51.64,5.75,0.00,null
JFK,2016-01-02 04:51,2.20,-7.80,47.57,19.55,0.00,27.60
NYC,2016-01-02 04:51,1.70,-8.90,45.26,9.20,0.00,19.55
LGA,2016-01-02 04:51,2.80,-8.90,41.84,14.95,0.00,25.30
JFK,2016-01-02 05:51,2.20,-8.30,45.76,18.40,0.00,null
NYC,2016-01-02 05:51,1.10,-9.40,45.43,5.75,0.00,18.40
LGA,2016-01-02 05:51,2.20,-8.90,43.67,12.65,0.00,24.15
LGA,2016-01-02 06:51,2.20,-8.30,45.76,19.55,0.00,27.60
JFK,2016-01-02 06:51,2.20,-8.30,45.76,20.70,0.00,27.60
NYC,2016-01-02 06:51,1.10,-8.90,47.25,8.05,0.00,16.10
NYC,2016-01-02 07:51,1.10,-8.30,49.51,8.05,0.00,null
LGA,2016-01-02 07:51,2.20,-7.80,47.57,13.80,0.00,23.00
JFK,2016-01-02 07:51,2.20,-7.80,47.57,17.25,0.00,26.45
LGA,2016-01-02 08:51,2.20,-7.20,49.83,18.40,0.00,24.15
JFK,2016-01-02 08:51,1.70,-7.80,49.30,11.50,0.00,null
NYC,2016-01-02 08:51,1.10,-8.30,49.51,13.80,0.00,20.70
NYC,2016-01-02 09:51,0.60,-7.80,53.36,10.35,0.00,16.10
JFK,2016-01-02 09:51,1.70,-7.80,49.30,9.20,0.00,null
LGA,2016-01-02 09:51,1.70,-6.70,53.66,18.40,0.00,null
JFK,2016-01-02 10:51,1.70,-7.20,51.64,10.35,0.00,null
NYC,2016-01-02 10:51,0.60,-7.80,53.36,9.20,0.00,null
LGA,2016-01-02 10:51,1.70,-6.70,53.66,18.40,0.00,null
LGA,2016-01-02 11:51,1.70,-6.70,53.66,11.50,0.00,null
JFK,2016-01-02 11:51,1.70,-7.80,49.30,11.50,0.00,null
NYC,2016-01-02 11:51,0.60,-7.80,53.36,0.00,0.00,null
LGA,2016-01-02 12:51,1.70,-6.70,53.66,8.05,0.00,18.40
JFK,2016-01-02 12:51,1.70,-7.80,49.30,11.50,0.00,null
NYC,2016-01-02 12:51,1.10,-7.80,51.47,4.60,0.00,null
JFK,2016-01-02 13:51,2.20,-8.30,45.76,10.35,0.00,null
LGA,2016-01-02 13:51,1.70,-7.80,49.30,9.20,0.00,null
NYC,2016-01-02 13:51,1.10,-8.30,49.51,6.90,0.00,null
LGA,2016-01-02 14:51,2.20,-7.80,47.57,12.65,0.00,21.85
NYC,2016-01-02 14:51,1.70,-8.30,47.42,5.75,0.00,null
JFK,2016-01-02 14:51,2.80,-7.80,45.58,11.50,0.00,null
JFK,2016-01-02 15:51,3.30,-8.30,42.32,11.50,0.00,19.55
NYC,2016-01-02 15:51,2.80,-7.80,45.58,5.75,0.00,null
LGA,2016-01-02 15:51,2.80,-7.80,45.58,13.80,0.00,19.55
LGA,2016-01-02 16:51,3.30,-6.70,47.89,14.95,0.00,null
JFK,2016-01-02 16:51,4.40,-7.20,42.65,13.80,0.00,21.85
NYC,2016-01-02 16:51,2.80,-8.30,43.85,4.60,0.00,16.10
JFK,2016-01-02 17:51,4.40,-7.20,42.65,13.80,0.00,null
NYC,2016-01-02 17:51,3.30,-8.30,42.32,8.05,0.00,null
LGA,2016-01-02 17:51,4.40,-7.20,42.65,6.90,0.00,20.70
JFK,2016-01-02 18:51,4.40,-7.20,42.65,16.10,0.00,null
NYC,2016-01-02 18:51,3.90,-7.80,42.18,8.05,0.00,null
LGA,2016-01-02 18:51,4.40,-6.70,44.33,11.50,0.00,24.15
NYC,2016-01-02 19:51,3.90,-7.20,44.18,9.20,0.00,17.25
LGA,2016-01-02 19:51,4.40,-6.70,44.33,10.35,0.00,null
JFK,2016-01-02 19:51,5.00,-6.70,42.51,14.95,0.00,null
LGA,2016-01-02 20:51,4.40,-6.70,44.33,11.50,0.00,null
JFK,2016-01-02 20:51,5.00,-6.70,42.51,18.40,0.00,null
NYC,2016-01-02 20:51,4.40,-7.20,42.65,6.90,0.00,null
LGA,2016-01-02 21:51,5.00,-6.10,44.51,18.40,0.00,25.30
NYC,2016-01-02 21:51,3.90,-7.80,42.18,6.90,0.00,null
JFK,2016-01-02 21:51,5.00,-6.70,42.51,13.80,0.00,19.55
JFK,2016-01-02 22:51,3.90,-7.20,44.18,13.80,0.00,20.70
NYC,2016-01-02 22:51,2.80,-8.30,43.85,5.75,0.00,17.25
LGA,2016-01-02 22:51,3.90,-7.20,44.18,16.10,0.00,null
NYC,2016-01-02 23:51,2.20,-8.30,45.76,0.00,0.00,null
JFK,2016-01-02 23:51,2.80,-7.80,45.58,11.50,0.00,null
LGA,2016-01-02 23:51,3.30,-6.70,47.89,8.05,0.00,null
NYC,2016-01-03 00:51,2.20,-8.30,45.76,6.90,0.00,null
LGA,2016-01-03 00:51,2.80,-7.20,47.75,6.90,0.00,17.25
JFK,2016-01-03 00:51,2.80,-7.80,45.58,5.75,0.00,null
JFK,2016-01-03 01:51,2.80,-7.20,47.75,10.35,0.00,null
NYC,2016-01-03 01:51,1.70,-7.80,49.30,4.60,0.00,null
LGA,2016-01-03 01:51,2.80,-7.20,47.75,6.90,0.00,null
NYC,2016-01-03 02:51,2.20,-7.80,null,null,0.00,null
JFK,2016-01-03 02:51,2.20,-6.70,51.78,9.20,0.00,null
LGA,2016-01-03 02:51,2.80,-6.70,49.62,11.50,0.00,null
JFK,2016-01-03 03:51,2.20,-6.70,51.78,11.50,0.00,null
LGA,2016-01-03 03:51,2.80,-6.70,49.62,10.35,0.00,null
NYC,2016-01-03 03:51,1.70,-7.20,51.64,6.90,0.00,null
NYC,2016-01-03 04:51,2.20,-6.70,51.78,8.05,0.00,null
JFK,2016-01-03 04:51,2.20,-5.60,56.32,12.65,0.00,null
LGA,2016-01-03 04:51,2.80,-6.10,51.95,12.65,0.00,null
LGA,2016-01-03 05:51,2.80,-6.10,51.95,9.20,0.00,null
NYC,2016-01-03 05:51,1.70,-6.70,53.66,0.00,0.00,null
JFK,2016-01-03 05:51,2.20,-5.60,56.32,12.65,0.00,null
JFK,2016-01-03 06:51,2.20,-4.40,61.67,11.50,0.00,null
LGA,2016-01-03 06:51,2.80,-6.10,51.95,11.50,0.00,null
NYC,2016-01-03 06:51,2.20,-6.70,51.78,11.50,0.00,null
JFK,2016-01-03 07:51,2.20,-3.90,64.03,11.50,0.00,null
NYC,2016-01-03 07:51,2.20,-6.70,51.78,6.90,0.00,16.10
LGA,2016-01-03 07:51,2.20,-5.60,56.32,8.05,0.00,null
JFK,2016-01-03 08:51,2.80,-4.40,59.09,12.65,0.00,null
LGA,2016-01-03 08:51,2.80,-5.60,53.97,9.20,0.00,null
NYC,2016-01-03 08:51,2.20,-6.70,null,null,0.00,null
LGA,2016-01-03 09:51,2.80,-6.10,51.95,12.65,0.00,null
JFK,2016-01-03 09:51,2.80,-3.90,61.35,14.95,0.00,null
NYC,2016-01-03 09:51,2.80,-6.70,49.62,6.90,0.00,24.15
NYC,2016-01-03 10:51,2.20,-6.70,51.78,4.60,0.00,null
LGA,2016-01-03 10:51,2.80,-5.00,56.48,9.20,0.00,null
JFK,2016-01-03 10:51,2.80,-3.30,64.17,11.50,0.00,null
NYC,2016-01-03 11:51,1.70,-6.10,56.18,4.60,0.00,null
JFK,2016-01-03 11:51,3.30,-3.30,61.94,14.95,0.00,null
LGA,2016-01-03 11:51,3.30,-5.60,52.09,10.35,0.00,null
NYC,2016-01-03 12:51,2.20,-6.10,54.21,4.60,0.00,null
JFK,2016-01-03 12:51,4.40,-2.80,59.50,12.65,0.00,null
LGA,2016-01-03 12:51,3.30,-5.00,54.51,9.20,0.00,null
LGA,2016-01-03 13:51,5.00,-5.60,46.23,16.10,0.00,21.85
NYC,2016-01-03 13:51,3.30,-6.10,50.14,10.35,0.00,17.25
JFK,2016-01-03 13:51,5.60,-5.00,46.41,16.10,0.00,null
LGA,2016-01-03 14:51,6.10,-5.60,42.84,12.65,0.00,20.70
NYC,2016-01-03 14:51,3.90,-6.10,null,null,0.00,null
JFK,2016-01-03 14:51,7.20,-5.00,41.56,17.25,0.00,null
NYC,2016-01-03 15:51,6.10,-6.70,39.38,5.75,0.00,16.10
JFK,2016-01-03 15:51,8.30,-5.00,38.56,17.25,0.00,null
LGA,2016-01-03 15:51,7.20,-6.10,38.23,11.50,0.00,17.25
LGA,2016-01-03 16:51,7.80,-6.70,35.05,14.95,0.00,27.60
NYC,2016-01-03 16:51,6.70,-7.20,36.36,11.50,0.00,21.85
JFK,2016-01-03 16:51,8.90,-6.10,34.06,20.70,0.00,27.60
LGA,2016-01-03 17:51,7.80,-5.60,38.12,17.25,0.00,24.15
NYC,2016-01-03 17:51,6.70,-6.70,null,null,0.00,null
JFK,2016-01-03 17:51,8.90,-5.60,35.38,18.40,0.00,23.00
JFK,2016-01-03 18:51,8.30,-6.10,35.47,17.25,0.00,null
NYC,2016-01-03 18:51,6.70,-6.10,39.57,8.05,0.00,18.40
LGA,2016-01-03 18:51,7.20,-5.00,41.56,17.25,0.00,23.00
NYC,2016-01-03 19:51,5.60,-6.10,42.69,10.35,0.00,20.70
JFK,2016-01-03 19:51,7.20,-5.60,39.72,17.25,0.00,23.00
LGA,2016-01-03 19:51,6.70,-3.90,46.73,16.10,0.00,24.15
NYC,2016-01-03 20:51,5.00,-6.70,42.51,9.20,0.00,16.10
JFK,2016-01-03 20:51,6.70,-5.60,41.10,18.40,0.00,null
LGA,2016-01-03 20:51,6.10,-5.60,42.84,14.95,0.00,23.00
LGA,2016-01-03 21:51,6.10,-5.00,44.83,9.20,0.00,null
JFK,2016-01-03 21:51,5.60,-5.60,44.34,11.50,0.00,null
NYC,2016-01-03 21:51,5.00,-6.10,44.51,11.50,0.00,null
JFK,2016-01-03 22:51,6.10,-5.60,42.84,16.10,0.00,23.00
LGA,2016-01-03 22:51,6.10,-4.40,46.91,9.20,0.00,null
NYC,2016-01-03 22:51,5.00,-6.10,44.51,6.90,0.00,null
NYC,2016-01-03 23:51,4.40,-6.10,46.41,9.20,0.00,null
LGA,2016-01-03 23:51,5.60,-5.00,46.41,11.50,0.00,20.70
JFK,2016-01-03 23:51,5.60,-6.10,42.69,13.80,0.00,20.70
JFK,2016-01-04 00:51,5.00,-5.60,46.23,11.50,0.00,null
NYC,2016-01-04 00:51,3.90,-5.60,49.93,8.05,0.00,null
LGA,2016-01-04 00:51,4.40,-4.40,52.79,13.80,0.00,null
JFK,2016-01-04 01:51,3.90,-5.00,52.26,10.35,0.00,null
NYC,2016-01-04 01:51,3.30,-5.60,52.09,10.35,0.00,null
LGA,2016-01-04 01:51,4.40,-4.40,52.79,12.65,0.00,null
JFK,2016-01-04 02:51,3.90,-4.40,54.68,10.35,0.00,null
LGA,2016-01-04 02:51,3.90,-3.90,56.77,10.35,0.00,null
NYC,2016-01-04 02:51,2.80,-5.60,53.97,9.20,0.00,null
LGA,2016-01-04 03:51,3.90,-3.90,56.77,12.65,0.00,21.85
JFK,2016-01-04 03:51,3.30,-4.40,57.04,9.20,0.00,null
NYC,2016-01-04 03:51,2.80,-5.00,56.48,9.20,0.00,null
JFK,2016-01-04 04:51,3.30,-4.40,57.04,10.35,0.00,null
LGA,2016-01-04 04:51,3.90,-3.90,56.77,11.50,0.00,19.55
NYC,2016-01-04 04:51,2.20,-5.00,58.94,6.90,0.00,null
JFK,2016-01-04 05:51,3.30,-3.90,59.22,9.20,0.00,null
LGA,2016-01-04 05:51,3.00,-4.00,60.04,16.10,0.00,20.70
NYC,2016-01-04 05:51,2.20,-5.00,58.94,4.60,0.00,null
NYC,2016-01-04 06:51,2.20,-5.00,58.94,5.75,0.00,null
LGA,2016-01-04 06:51,3.30,-3.90,59.22,12.65,0.00,null
JFK,2016-01-04 06:51,3.30,-5.00,54.51,13.80,0.00,23.00
NYC,2016-01-04 07:51,1.70,-7.20,51.64,3.45,0.00,null
LGA,2016-01-04 07:51,2.80,-6.10,51.95,23.00,0.00,28.75
JFK,2016-01-04 07:51,2.80,-7.20,47.75,19.55,0.00,null
JFK,2016-01-04 08:51,1.70,-8.30,47.42,21.85,0.00,26.45
NYC,2016-01-04 08:51,1.10,-8.30,49.51,4.60,0.00,null
LGA,2016-01-04 08:51,2.20,-7.20,49.83,18.40,0.00,26.45
NYC,2016-01-04 09:51,0.60,-9.40,47.10,9.20,0.00,19.55
LGA,2016-01-04 09:51,1.70,-7.80,49.30,12.65,0.00,19.55
JFK,2016-01-04 09:51,1.10,-10.00,43.34,20.70,0.00,25.30
NYC,2016-01-04 10:51,-0.60,-9.40,51.38,10.35,0.00,20.70
JFK,2016-01-04 10:51,0.60,-8.90,48.98,17.25,0.00,null
LGA,2016-01-04 10:51,0.60,-7.20,55.89,16.10,0.00,26.45
NYC,2016-01-04 11:51,-1.10,-10.00,50.84,11.50,0.00,20.70
JFK,2016-01-04 11:51,0.00,-8.90,51.15,14.95,0.00,null
LGA,2016-01-04 11:51,0.00,-7.20,58.37,13.80,0.00,null
NYC,2016-01-04 12:51,-1.70,-10.60,50.66,6.90,0.00,null
LGA,2016-01-04 12:51,-0.60,-7.80,58.21,18.40,0.00,25.30
JFK,2016-01-04 12:51,-0.60,-8.90,53.44,17.25,0.00,null
LGA,2016-01-04 13:51,-0.60,-8.30,55.99,14.95,0.00,24.15
JFK,2016-01-04 13:51,-0.60,-9.40,51.38,19.55,0.00,null
NYC,2016-01-04 13:51,-1.70,-10.60,50.66,6.90,0.00,null
LGA,2016-01-04 14:51,-0.60,-9.40,51.38,18.40,0.00,21.85
JFK,2016-01-04 14:51,-0.60,-9.40,51.38,19.55,0.00,null
NYC,2016-01-04 14:51,-2.20,-13.30,42.32,4.60,0.00,null
JFK,2016-01-04 15:51,0.60,-10.60,42.84,18.40,0.00,25.30
NYC,2016-01-04 15:51,-2.20,-13.30,42.32,11.50,0.00,19.55
LGA,2016-01-04 15:51,-1.10,-11.10,46.59,17.25,0.00,null
LGA,2016-01-04 16:51,-0.60,-11.70,42.82,17.25,0.00,24.15
JFK,2016-01-04 16:51,0.60,-12.20,37.70,16.10,0.00,23.00
NYC,2016-01-04 16:51,-2.20,-15.00,36.83,9.20,0.00,null
NYC,2016-01-04 17:51,-1.10,-16.70,null,null,0.00,null
LGA,2016-01-04 17:51,-0.60,-12.80,39.19,14.95,0.00,29.90
JFK,2016-01-04 17:51,0.60,-13.90,32.85,18.40,0.00,24.15
NYC,2016-01-04 18:51,-2.20,-17.20,30.67,4.60,0.00,23.00
JFK,2016-01-04 18:51,0.00,-15.60,29.83,16.10,0.00,27.60
LGA,2016-01-04 18:51,-0.60,-12.80,39.19,24.15,0.00,28.75
LGA,2016-01-04 19:44,-1.00,-12.00,43.04,16.10,0.00,26.45
NYC,2016-01-04 19:51,-2.20,-17.80,29.16,5.75,0.00,19.55
JFK,2016-01-04 19:51,-0.60,-14.40,34.40,19.55,0.00,null
LGA,2016-01-04 19:51,-1.70,-11.70,46.41,16.10,0.00,24.15
JFK,2016-01-04 20:51,-2.80,-15.00,38.50,24.15,0.00,31.05
NYC,2016-01-04 20:51,-3.30,-15.00,39.96,11.50,0.00,20.70
LGA,2016-01-04 20:51,-2.80,-12.80,46.08,20.70,0.00,28.75
LGA,2016-01-04 21:51,-4.40,-13.30,49.87,21.85,0.00,27.60
NYC,2016-01-04 21:51,-5.00,-15.60,43.21,11.50,0.00,21.85
JFK,2016-01-04 21:51,-4.40,-16.10,39.62,23.00,0.00,31.05
NYC,2016-01-04 22:51,-6.10,-16.10,45.07,12.65,0.00,25.30
JFK,2016-01-04 22:51,-5.60,-16.70,41.26,23.00,0.00,31.05
LGA,2016-01-04 22:51,-5.00,-12.80,54.34,14.95,0.00,29.90
NYC,2016-01-04 23:51,-6.70,-17.20,null,null,0.00,null
JFK,2016-01-04 23:51,-6.70,-18.30,39.22,23.00,0.00,36.80
LGA,2016-01-04 23:51,-6.10,-14.40,51.86,23.00,0.00,32.20
JFK,2016-01-05 00:51,-6.70,-17.80,40.92,26.45,0.00,39.10
NYC,2016-01-05 00:51,-7.20,-16.70,46.64,12.65,0.00,24.15
LGA,2016-01-05 00:51,-6.70,-13.90,56.56,20.70,0.00,33.35
LGA,2016-01-05 01:51,-7.20,-14.40,56.43,24.15,0.00,34.50
JFK,2016-01-05 01:51,-7.80,-18.30,42.69,28.75,0.00,36.80
NYC,2016-01-05 01:51,-7.80,-16.70,48.85,10.35,0.00,25.30
JFK,2016-01-05 02:51,-8.90,-17.80,48.52,18.40,0.00,29.90
NYC,2016-01-05 02:51,-8.30,-17.80,46.30,9.20,0.00,20.70
LGA,2016-01-05 02:51,-7.80,-14.40,59.10,27.60,0.00,34.50
LGA,2016-01-05 03:51,-8.90,-15.00,61.29,25.30,0.00,39.10
JFK,2016-01-05 03:51,-8.90,-18.30,46.51,24.15,0.00,35.65
NYC,2016-01-05 03:51,-9.40,-17.80,50.46,12.65,0.00,24.15
NYC,2016-01-05 04:51,-9.40,-17.80,50.46,9.20,0.00,24.15
LGA,2016-01-05 04:51,-8.90,-15.00,61.29,16.10,0.00,26.45
JFK,2016-01-05 04:51,-9.40,-18.30,48.37,25.30,0.00,33.35
NYC,2016-01-05 05:51,-10.60,-18.30,53.17,13.80,0.00,24.15
LGA,2016-01-05 05:51,-9.40,-15.00,63.73,23.00,0.00,32.20
JFK,2016-01-05 05:51,-10.00,-18.30,50.71,24.15,0.00,29.90
NYC,2016-01-05 06:51,-10.60,-18.30,53.17,8.05,0.00,17.25
JFK,2016-01-05 06:51,-10.60,-18.30,53.17,20.70,0.00,28.75
LGA,2016-01-05 06:51,-10.00,-15.60,63.59,17.25,0.00,26.45
NYC,2016-01-05 07:51,-11.10,-18.30,55.33,4.60,0.00,20.70
JFK,2016-01-05 07:51,-10.60,-18.90,50.52,24.15,0.00,33.35
LGA,2016-01-05 07:51,-9.40,-15.60,60.65,16.10,0.00,27.60
JFK,2016-01-05 08:51,-10.60,-18.30,53.17,20.70,0.00,29.90
NYC,2016-01-05 08:51,-11.10,-18.90,52.57,6.90,0.00,23.00
LGA,2016-01-05 08:51,-10.00,-15.00,66.82,18.40,0.00,25.30
LGA,2016-01-05 09:51,-10.00,-15.60,63.59,18.40,0.00,24.15
JFK,2016-01-05 09:51,-11.10,-19.40,50.37,19.55,0.00,27.60
NYC,2016-01-05 09:51,-11.10,-19.40,50.37,4.60,0.00,23.00
NYC,2016-01-05 10:51,-11.70,-19.40,52.85,10.35,0.00,20.70
JFK,2016-01-05 10:51,-10.60,-20.00,45.98,23.00,0.00,29.90
LGA,2016-01-05 10:51,-10.00,-16.10,61.00,14.95,0.00,24.15
LGA,2016-01-05 11:51,-10.00,-16.10,61.00,16.10,0.00,null
NYC,2016-01-05 11:51,-11.70,-19.40,null,null,0.00,null
JFK,2016-01-05 11:51,-10.60,-19.40,48.41,17.25,0.00,25.30
JFK,2016-01-05 12:51,-10.00,-19.40,46.17,14.95,0.00,null
NYC,2016-01-05 12:51,-11.10,-18.90,52.57,5.75,0.00,null
LGA,2016-01-05 12:51,-10.00,-15.00,66.82,13.80,0.00,21.85
JFK,2016-01-05 13:51,-8.90,-20.00,40.22,18.40,0.00,25.30
LGA,2016-01-05 13:51,-8.90,-15.60,58.32,11.50,0.00,17.25
NYC,2016-01-05 13:51,-10.60,-20.00,45.98,12.65,0.00,19.55
NYC,2016-01-05 14:51,-8.30,-18.90,null,null,0.00,null
LGA,2016-01-05 14:51,-7.20,-15.60,51.11,9.20,0.00,null
JFK,2016-01-05 14:51,-7.20,-19.40,37.11,14.95,0.00,null
LGA,2016-01-05 15:51,-6.70,-16.10,47.19,18.40,0.00,null
JFK,2016-01-05 15:51,-5.60,-19.40,32.83,13.80,0.00,21.85
NYC,2016-01-05 15:51,-7.20,-20.00,35.25,6.90,0.00,16.10
NYC,2016-01-05 16:51,-5.60,-20.60,29.61,10.35,0.00,18.40
JFK,2016-01-05 16:51,-3.90,-20.00,27.43,10.35,0.00,17.25
LGA,2016-01-05 16:51,-5.60,-17.20,39.57,12.65,0.00,null
LGA,2016-01-05 17:51,-3.90,-17.80,33.09,12.65,0.00,20.70
JFK,2016-01-05 17:51,-2.80,-20.00,25.27,11.50,0.00,null
NYC,2016-01-05 17:51,-3.90,-21.10,24.94,6.90,0.00,null
JFK,2016-01-05 18:51,-2.20,-21.10,21.97,10.35,0.00,null
NYC,2016-01-05 18:51,-2.80,-21.10,22.97,5.75,0.00,null
LGA,2016-01-05 18:51,-2.80,-17.20,32.06,9.20,0.00,null
JFK,2016-01-05 19:51,-1.70,-21.70,20.10,10.35,0.00,null
NYC,2016-01-05 19:51,-2.20,-20.00,24.17,4.60,0.00,null
LGA,2016-01-05 19:51,-1.70,-18.30,26.94,12.65,0.00,null
JFK,2016-01-05 20:51,-1.70,-21.70,20.10,10.35,0.00,null
LGA,2016-01-05 20:51,-1.70,-18.30,26.94,6.90,0.00,null
NYC,2016-01-05 20:51,-2.20,-19.40,25.45,0.00,0.00,null
NYC,2016-01-05 21:51,-2.20,-20.00,24.17,0.00,0.00,null
LGA,2016-01-05 21:51,-2.20,-16.70,31.98,5.75,0.00,null
JFK,2016-01-05 21:51,-3.30,-19.40,27.61,8.05,0.00,null
NYC,2016-01-05 22:51,-2.80,-19.40,26.60,0.00,0.00,null
JFK,2016-01-05 22:51,-3.30,-19.40,27.61,6.90,0.00,null
